,lr,max_depth,gamma,lambda,alpha,subsample_f,colsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time,ACC_train,ACC_val,Loss_train,Loss_val
59,0.01,1,0.0,0.1,0.0,0.75,1.0,0.45311111111111113,1.37985829862619,0.8667110963012329,0.5429095150808199,0.3015222482435597,0.10456146235116552,0.2281622116745774,0.6702470461868958,10000.0,0:02:21.047752,14807159.5723704,0.48838333333333334,0.48838333333333334,1.3024083373012816,1.3158841038684672
60,0.01,1,0.0,0.1,0.0,1.0,0.25,0.44858333333333333,1.3915824190089285,0.8665835411471322,0.5377256467847933,0.3024106400665004,0.0961169102296451,0.21956304202801868,0.6682563587684069,10000.0,0:02:25.719801,14807305.362317145,0.48218333333333335,0.48218333333333335,1.3157237105174369,1.3269892079875183
61,0.01,1,0.0,0.1,0.0,1.0,0.5,0.4486805555555556,1.3906653244897431,0.8674638764324863,0.5384103204327924,0.30326231691078565,0.09679572763684913,0.21777075887291164,0.6687374076561451,10000.0,0:02:26.001515,14807451.43469006,0.48231666666666667,0.48231666666666667,1.3152591065372727,1.326720835969628
62,0.01,1,0.0,0.1,0.0,1.0,0.75,0.45008333333333334,1.3888943661046238,0.8703749689595233,0.5401593096581481,0.30305056414542414,0.09475789649137428,0.21805265357292103,0.6708828949572793,10000.0,0:02:25.951372,14807597.457661193,0.4823,0.4823,1.3152151669517083,1.326688466722094
63,0.01,1,0.0,0.1,0.0,1.0,1.0,0.4474444444444444,1.3930414637759134,0.8655,0.535118998258562,0.2987951807228916,0.09692770078477209,0.220536756126021,0.6683989941324392,10000.0,0:02:20.043473,14807737.572231896,0.4827,0.4827,1.3152290632109584,1.3267553881066851
64,0.01,1,0.0,0.1,0.1,0.25,0.25,0.45790277777777777,1.369856371946256,0.8687155503591114,0.5547506037138813,0.3029443656685295,0.10618729096989966,0.23373493975903614,0.680628272251309,10000.0,0:02:26.356904,14807883.999683276,0.4922666666666667,0.4922666666666667,1.2925804383756185,1.3048073969123006
65,0.01,1,0.0,0.1,0.1,0.25,0.5,0.45702777777777776,1.3675984024625536,0.8638010956595027,0.5524458101486588,0.3016463969554066,0.11134278565471226,0.23214732105657862,0.6855858854860186,10000.0,0:02:26.769783,14808030.840273252,0.495,0.495,1.2870255118302947,1.3004513869797034
66,0.01,1,0.0,0.1,0.1,0.25,0.75,0.45855555555555555,1.3652523033428476,0.8637542890618461,0.5568513119533528,0.3028490738433425,0.11096334469287673,0.23809127248501,0.682653743315508,10000.0,0:02:26.752624,14808177.664357208,0.4956333333333333,0.4956333333333333,1.2847077896604877,1.2987401447932547
67,0.01,1,0.0,0.1,0.1,0.25,1.0,0.4607361111111111,1.36315544705771,0.8636664460622104,0.557260228034876,0.3063244422076833,0.1141952154705343,0.2352794618387177,0.6845475715236194,10000.0,0:02:21.082011,14808318.816567669,0.4962666666666667,0.4962666666666667,1.2831416235982775,1.2976690151390309
68,0.01,1,0.0,0.1,0.1,0.5,0.25,0.4547361111111111,1.3775032825005782,0.8651097074468085,0.5495016611295681,0.3042348008385744,0.10333221137664086,0.22660057827344074,0.6756284334942567,10000.0,0:02:25.365722,14808464.253754435,0.4887,0.4887,1.3012574833642914,1.313296709118566
