,lr,max_depth,gamma,lambda,subsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time
88,0.001,4,0.01,0.1,1.0,0.5182777777777777,1.1861450243705658,0.888,0.7123333333333334,0.33266666666666667,0.19133333333333333,0.28,0.7053333333333334,50000.0,0:10:53.231251,14375221.439261649
89,0.001,4,0.01,0.1,0.8,0.5279444444444444,1.1730231215836429,0.8883333333333333,0.719,0.347,0.19566666666666666,0.292,0.7256666666666667,50000.0,0:11:22.949117,14375904.396401132
90,0.001,4,0.01,0.1,0.6,0.5315555555555556,1.1691429045328985,0.8866666666666667,0.72,0.354,0.202,0.2946666666666667,0.732,50000.0,0:11:28.050540,14376592.45495224
91,0.001,4,0.01,0.1,0.4,0.5318333333333334,1.1681219240006917,0.885,0.72,0.36033333333333334,0.19866666666666666,0.292,0.735,50000.0,0:11:31.861431,14377284.32504566
92,0.001,4,0.01,1.0,1.0,0.5196111111111111,1.1860044477933303,0.8886666666666667,0.712,0.33766666666666667,0.19,0.2833333333333333,0.706,50000.0,0:10:55.529508,14377939.862579769
93,0.001,4,0.01,1.0,0.8,0.5273333333333333,1.173253037241296,0.887,0.7203333333333334,0.3456666666666667,0.194,0.29133333333333333,0.7256666666666667,50000.0,0:11:25.707247,14378625.577826833
94,0.001,4,0.01,1.0,0.6,0.5299444444444444,1.1696663138688412,0.887,0.7206666666666667,0.349,0.20033333333333334,0.2926666666666667,0.73,50000.0,0:11:28.811282,14379314.397231083
95,0.001,4,0.01,1.0,0.4,0.5308333333333334,1.1686511136747697,0.885,0.7186666666666667,0.3566666666666667,0.19933333333333333,0.2906666666666667,0.7346666666666667,50000.0,0:11:33.003649,14380007.408952435
96,0.001,4,0.1,0.001,1.0,0.5192222222222223,1.1866742800994627,0.8883333333333333,0.7113333333333334,0.33166666666666667,0.18833333333333332,0.287,0.7086666666666667,50000.0,0:10:54.238730,14380661.655787328
97,0.001,4,0.1,0.001,0.8,0.5275555555555556,1.1730339860959422,0.8876666666666667,0.7193333333333334,0.3473333333333333,0.194,0.292,0.725,50000.0,0:11:22.558697,14381344.222550316
98,0.001,4,0.1,0.001,0.6,0.5314444444444445,1.1691740291966297,0.887,0.7196666666666667,0.3526666666666667,0.20033333333333334,0.2966666666666667,0.7323333333333333,50000.0,0:11:28.444018,14382032.675248835
99,0.001,4,0.1,0.001,0.4,0.5311111111111111,1.1682689147494036,0.885,0.719,0.35933333333333334,0.19933333333333333,0.2896666666666667,0.7343333333333333,50000.0,0:11:30.693389,14382723.377320755
100,0.001,4,0.1,0.01,1.0,0.5189444444444444,1.1863025929432451,0.8873333333333333,0.7096666666666667,0.3303333333333333,0.19166666666666668,0.28733333333333333,0.7073333333333334,50000.0,0:10:54.937716,14383378.32487305
101,0.001,4,0.1,0.01,0.8,0.5274444444444445,1.1730526302468105,0.888,0.7193333333333334,0.347,0.19433333333333333,0.2906666666666667,0.7253333333333334,50000.0,0:11:22.584816,14384060.91785288
102,0.001,4,0.1,0.01,0.6,0.5312777777777777,1.169170625542182,0.887,0.7203333333333334,0.35233333333333333,0.20033333333333334,0.296,0.7316666666666667,50000.0,0:11:28.937105,14384749.86307062
103,0.001,4,0.1,0.01,0.4,0.5309444444444444,1.1682572546382242,0.8846666666666667,0.719,0.35933333333333334,0.19833333333333333,0.29033333333333333,0.734,50000.0,0:11:30.094941,14385439.966142263
104,0.001,4,0.1,0.1,1.0,0.5177222222222222,1.1861454975725987,0.8876666666666667,0.709,0.332,0.18866666666666668,0.2803333333333333,0.7086666666666667,50000.0,0:10:53.164368,14386093.139021453
105,0.001,4,0.1,0.1,0.8,0.5275,1.1730134078048224,0.888,0.719,0.3473333333333333,0.19433333333333333,0.291,0.7253333333333334,50000.0,0:11:22.567265,14386775.714429423
106,0.001,4,0.1,0.1,0.6,0.5318333333333334,1.1691384454519158,0.8866666666666667,0.72,0.354,0.20366666666666666,0.29433333333333334,0.7323333333333333,50000.0,0:11:27.707516,14387463.430086195
107,0.001,4,0.1,0.1,0.4,0.5323888888888889,1.1680745322609736,0.8853333333333333,0.7186666666666667,0.362,0.20133333333333334,0.29233333333333333,0.7346666666666667,50000.0,0:11:32.281030,14388155.719283955
108,0.001,4,0.1,1.0,1.0,0.5193888888888889,1.1862102662103584,0.8893333333333333,0.711,0.3343333333333333,0.19,0.2826666666666667,0.709,50000.0,0:10:56.095141,14388811.82264194
109,0.001,4,0.1,1.0,0.8,0.5273888888888889,1.1732518501702456,0.8873333333333333,0.72,0.345,0.194,0.292,0.726,50000.0,0:11:23.989910,14389495.821089843
110,0.001,4,0.1,1.0,0.6,0.5303333333333333,1.1696583949308257,0.887,0.7206666666666667,0.34933333333333333,0.202,0.29233333333333333,0.7306666666666667,50000.0,0:11:27.333052,14390183.162895545
111,0.001,4,0.1,1.0,0.4,0.5311666666666667,1.1686308591836185,0.885,0.718,0.3576666666666667,0.19966666666666666,0.2916666666666667,0.735,50000.0,0:11:32.554729,14390875.725832716
112,0.001,4,1.0,0.001,1.0,0.5176111111111111,1.1851928706404573,0.8906666666666667,0.7116666666666667,0.3373333333333333,0.163,0.28733333333333333,0.7156666666666667,50000.0,0:08:58.427016,14391414.161042385
113,0.001,4,1.0,0.001,0.8,0.5276111111111111,1.1730864805405146,0.8876666666666667,0.7196666666666667,0.3473333333333333,0.19533333333333333,0.29133333333333333,0.7243333333333334,50000.0,0:11:21.166559,14392095.335786277
114,0.001,4,1.0,0.001,0.6,0.5312777777777777,1.1692175662588888,0.887,0.7206666666666667,0.353,0.2,0.29533333333333334,0.7316666666666667,50000.0,0:11:26.075765,14392781.419779638
115,0.001,4,1.0,0.001,0.4,0.5307222222222222,1.1682881916946237,0.885,0.7193333333333334,0.358,0.199,0.28833333333333333,0.7346666666666667,50000.0,0:11:28.745386,14393470.175653964
116,0.001,4,1.0,0.01,1.0,0.5186666666666667,1.1847559301903607,0.8913333333333333,0.7123333333333334,0.337,0.169,0.2856666666666667,0.7166666666666667,50000.0,0:09:00.622690,14394010.806541773
117,0.001,4,1.0,0.01,0.8,0.5281111111111111,1.1730588231332642,0.888,0.7196666666666667,0.3473333333333333,0.19633333333333333,0.29233333333333333,0.725,50000.0,0:11:21.396153,14394692.210947176
118,0.001,4,1.0,0.01,0.6,0.5313888888888889,1.1691795059785464,0.887,0.7196666666666667,0.35233333333333333,0.202,0.29533333333333334,0.732,50000.0,0:11:25.126989,14395377.346176416
119,0.001,4,1.0,0.01,0.4,0.5311666666666667,1.1683174237609444,0.8856666666666667,0.7193333333333334,0.36033333333333334,0.198,0.289,0.7346666666666667,50000.0,0:11:28.330796,14396065.685212323
120,0.001,4,1.0,0.1,1.0,0.5181666666666667,1.185038814619104,0.8903333333333333,0.7126666666666667,0.335,0.164,0.29033333333333333,0.7166666666666667,50000.0,0:08:57.660091,14396603.353612063
121,0.001,4,1.0,0.1,0.8,0.5275555555555556,1.1730397114275262,0.8886666666666667,0.719,0.347,0.19466666666666665,0.2906666666666667,0.7253333333333334,50000.0,0:11:19.765722,14397283.12761026
122,0.001,4,1.0,0.1,0.6,0.5313333333333333,1.1691731964921546,0.8866666666666667,0.7196666666666667,0.354,0.20133333333333334,0.295,0.7313333333333333,50000.0,0:11:26.128756,14397969.26463398
123,0.001,4,1.0,0.1,0.4,0.5318333333333334,1.1681628032325913,0.8853333333333333,0.719,0.36133333333333334,0.19933333333333333,0.29133333333333333,0.7346666666666667,50000.0,0:11:27.623505,14398656.89642062
124,0.001,4,1.0,1.0,1.0,0.5184444444444445,1.1849315638829405,0.8883333333333333,0.7176666666666667,0.33666666666666667,0.166,0.2876666666666667,0.7143333333333334,50000.0,0:08:58.467368,14399195.372087056
125,0.001,4,1.0,1.0,0.8,0.5273888888888889,1.1732373719568236,0.8873333333333333,0.7203333333333334,0.3446666666666667,0.195,0.29133333333333333,0.7256666666666667,50000.0,0:11:22.632306,14399878.012705492
126,0.001,4,1.0,1.0,0.6,0.53,1.1696768233657537,0.8873333333333333,0.721,0.3486666666666667,0.2,0.292,0.731,50000.0,0:11:27.245691,14400565.266712764
127,0.001,4,1.0,1.0,0.4,0.5317222222222222,1.1686901282318618,0.8853333333333333,0.7193333333333334,0.35833333333333334,0.20033333333333334,0.292,0.735,50000.0,0:11:27.470724,14401252.745746933
128,0.001,5,0.001,0.001,1.0,0.5235555555555556,1.1698888068642224,0.88,0.714,0.33266666666666667,0.21266666666666667,0.2976666666666667,0.7043333333333334,50000.0,0:16:00.505943,14402213.259990446
129,0.001,5,0.001,0.001,0.8,0.535,1.1524908795578293,0.882,0.724,0.35733333333333334,0.218,0.30333333333333334,0.7253333333333334,50000.0,0:16:46.300774,14403219.569117269
